seed,metric,configuration,step,loss
0,control,G0M0S0,0,-0.2736013066981515
0,control,G0M0S0,75,-7.671366308116513
0,control,G0M0S0,150,-17.756790016853962
0,control,G0M0S0,225,-19.34613490563941
0,control,G0M0S0,299,-19.3908409387097
0,control,G0M0S1,0,-0.2736013066981515
0,control,G0M0S1,75,-7.613174163942656
0,control,G0M0S1,150,-17.760257280767373
0,control,G0M0S1,225,-19.346428328800773
0,control,G0M0S1,299,-19.390846510209343
0,control,G0M1S0,0,-0.2736013066981515
0,control,G0M1S0,75,-9.78621575100206
0,control,G0M1S0,150,-18.545813287063485
0,control,G0M1S0,225,-19.38458678951222
0,control,G0M1S0,299,-19.391247356965852
0,control,G0M1S1,0,-0.2736013066981515
0,control,G0M1S1,75,-9.735954673735016
0,control,G0M1S1,150,-18.54848157898045
0,control,G0M1S1,225,-19.384636287348624
0,control,G0M1S1,299,-19.39124800834572
0,control,G1M0S0,0,-0.2736013066981515
0,control,G1M0S0,75,-7.894225719138394
0,control,G1M0S0,150,-17.77018642437282
0,control,G1M0S0,225,-19.346913912703698
0,control,G1M0S0,299,-19.390849887961743
0,control,G1M0S1,0,-0.2736013066981515
0,control,G1M0S1,75,-7.8350743318577045
0,control,G1M0S1,150,-17.77377814214648
0,control,G1M0S1,225,-19.347206296415152
0,control,G1M0S1,299,-19.390855405158355
0,control,G1M1S0,0,-0.2736013066981515
0,control,G1M1S0,75,-10.039470087965364
0,control,G1M1S0,150,-18.555928053098683
0,control,G1M1S0,225,-19.38475118000375
0,control,G1M1S0,299,-19.391247969596535
0,control,G1M1S1,0,-0.2736013066981515
0,control,G1M1S1,75,-9.990195506346584
0,control,G1M1S1,150,-18.558654389468085
0,control,G1M1S1,225,-19.38480015043937
0,control,G1M1S1,299,-19.39124861100885
0,hessian,G0M0S0,0,-0.2736013066981515
0,hessian,G0M0S0,75,-19.390135274482255
0,hessian,G0M0S0,150,-19.391269780856064
0,hessian,G0M0S0,225,-19.39127002653923
0,hessian,G0M0S0,299,-19.391270026592938
0,hessian,G0M0S1,0,-0.2736013066981515
0,hessian,G0M0S1,75,-19.39000529733547
0,hessian,G0M0S1,150,-19.391267477066172
0,hessian,G0M0S1,225,-19.391268236520247
0,hessian,G0M0S1,299,-19.391268244142648
0,hessian,G0M1S0,0,-0.2736013066981515
0,hessian,G0M1S0,75,-19.39107442029758
0,hessian,G0M1S0,150,-19.391270023510067
0,hessian,G0M1S0,225,-19.391270026592913
0,hessian,G0M1S0,299,-19.391270026592952
0,hessian,G0M1S1,0,-0.2736013066981515
0,hessian,G0M1S1,75,-19.391061905976475
0,hessian,G0M1S1,150,-19.391268585326277
0,hessian,G0M1S1,225,-19.3912686393442
0,hessian,G0M1S1,299,-19.39126863955879
0,hessian,G1M0S0,0,-0.2736013066981515
0,hessian,G1M0S0,75,-19.390629786425052
0,hessian,G1M0S0,150,-19.391269891235822
0,hessian,G1M0S0,225,-19.39127002656407
0,hessian,G1M0S0,299,-19.391270026592945
0,hessian,G1M0S1,0,-0.2736013066981515
0,hessian,G1M0S1,75,-19.39041494081826
0,hessian,G1M0S1,150,-19.391267819705902
0,hessian,G1M0S1,225,-19.39126824037868
0,hessian,G1M0S1,299,-19.391268244204003
0,hessian,G1M1S0,0,-0.2736013066981515
0,hessian,G1M1S0,75,-19.39107010713467
0,hessian,G1M1S0,150,-19.391270023632025
0,hessian,G1M1S0,225,-19.391270026592906
0,hessian,G1M1S0,299,-19.39127002659296
0,hessian,G1M1S1,0,-0.2736013066981515
0,hessian,G1M1S1,75,-19.391068392172887
0,hessian,G1M1S1,150,-19.391268627351558
0,hessian,G1M1S1,225,-19.391268639512415
0,hessian,G1M1S1,299,-19.391268639559513
1,control,G0M0S0,0,-2.399810151985944
1,control,G0M0S0,75,-27.895402819576848
1,control,G0M0S0,150,-33.17837192151715
1,control,G0M0S0,225,-33.19870236809132
1,control,G0M0S0,299,-33.19871799010237
1,control,G0M0S1,0,-2.399810151985944
1,control,G0M0S1,75,-27.895885717369726
1,control,G0M0S1,150,-33.17839922074344
1,control,G0M0S1,225,-33.198702991473816
1,control,G0M0S1,299,-33.19871787453521
1,control,G0M1S0,0,-2.399810151985944
1,control,G0M1S0,75,-29.46434864062615
1,control,G0M1S0,150,-33.19646481912491
1,control,G0M1S0,225,-33.19871769970963
1,control,G0M1S0,299,-33.19871800500785
1,control,G0M1S1,0,-2.399810151985944
1,control,G0M1S1,75,-29.46478634607038
1,control,G0M1S1,150,-33.19647275017131
1,control,G0M1S1,225,-33.19871768284955
1,control,G0M1S1,299,-33.19871789869139
1,control,G1M0S0,0,-2.399810151985944
1,control,G1M0S0,75,-27.93914890577968
1,control,G1M0S0,150,-33.17935770126425
1,control,G1M0S0,225,-33.19870316937587
1,control,G1M0S0,299,-33.19871799084106
1,control,G1M0S1,0,-2.399810151985944
1,control,G1M0S1,75,-27.939633622127833
1,control,G1M0S1,150,-33.179384292614046
1,control,G1M0S1,225,-33.19870377284838
1,control,G1M0S1,299,-33.198717874694445
1,control,G1M1S0,0,-2.399810151985944
1,control,G1M1S0,75,-29.515383212293727
1,control,G1M1S0,150,-33.196612604275195
1,control,G1M1S0,225,-33.198717719285526
1,control,G1M1S0,299,-33.19871800501197
1,control,G1M1S1,0,-2.399810151985944
1,control,G1M1S1,75,-29.515819471467108
1,control,G1M1S1,150,-33.196620264928804
1,control,G1M1S1,225,-33.19871769936781
1,control,G1M1S1,299,-33.198717898657435
1,hessian,G0M0S0,0,-2.399810151985944
