study,seed,metric,configuration,geometric,memory,spectral,steps_requested,steps_completed,initial_loss,final_loss,best_loss,diverged,runtime_s,mean_geometric_force,mean_memory_force,mean_spectral_force
architecture,0,control,G0M0S0,0,0,0,300,300,-0.2736013066981515,-19.390867774107914,-19.3908409387097,0,0.07969489999231882,0.0,0.0,0.0
architecture,0,control,G0M0S1,0,0,1,300,300,-0.2736013066981515,-19.390873082484518,-19.390846510209343,0,0.306063299998641,0.0,0.0,0.0012256667904143093
architecture,0,control,G0M1S0,0,1,0,300,300,-0.2736013066981515,-19.391249050354343,-19.391247356965852,0,0.07098810000752565,0.0,0.24118238770515324,0.0
architecture,0,control,G0M1S1,0,1,1,300,300,-0.2736013066981515,-19.391249668323567,-19.39124800834572,0,0.3221478999912506,0.0,0.24111920918468385,0.0012383496862470769
architecture,0,control,G1M0S0,1,0,0,300,300,-0.2736013066981515,-19.390876170451865,-19.390849887961743,0,0.2554232999973465,0.01846020609767092,0.0,0.0
architecture,0,control,G1M0S1,1,0,1,300,300,-0.2736013066981515,-19.390881426899373,-19.390855405158355,0,0.48941439999907743,0.018449947790908913,0.0,0.0012247516839755486
architecture,0,control,G1M1S0,1,1,0,300,300,-0.2736013066981515,-19.391249617423764,-19.391247969596535,0,0.27892029999929946,0.02067332526441067,0.23995632565278163,0.0
architecture,0,control,G1M1S1,1,1,1,300,300,-0.2736013066981515,-19.391250225867665,-19.39124861100885,0,0.48577309999382123,0.020662930446009253,0.23989266561993294,0.0012375105138554584
architecture,0,hessian,G0M0S0,0,0,0,300,300,-0.2736013066981515,-19.391270026592945,-19.391270026592938,0,0.07379689998924732,0.0,0.0,0.0
architecture,0,hessian,G0M0S1,0,0,1,300,300,-0.2736013066981515,-19.39126824414942,-19.391268244142648,0,0.36516060000576545,0.0,0.0,0.005767888345102371
architecture,0,hessian,G0M1S0,0,1,0,300,300,-0.2736013066981515,-19.391270026592956,-19.391270026592963,0,0.07860919999075122,0.0,0.04324315696408118,0.0
architecture,0,hessian,G0M1S1,0,1,1,300,300,-0.2736013066981515,-19.391268639558866,-19.39126863955879,0,0.33677400001033675,0.0,0.043596220829668554,0.005573267813152795
