study,metric,term,coefficient,factorial_effect,standard_error,t,p,n,dof
architecture,control,intercept,-2.1993069655070543,-2.1993069655070543,0.23575764784763445,-9.328677078286866,2.0540076537980356e-18,320,312
architecture,control,G,-0.0026347590481987093,-0.005269518096397419,0.23575764784763445,-0.011175709769133353,0.9910904018758672,320,312
architecture,control,M,-0.24251295101386167,-0.48502590202772333,0.23575764784763445,-1.0286535907865566,0.30443927338365784,320,312
architecture,control,S,0.29235803205004907,0.5847160641000981,0.23575764784763445,1.2400786770616,0.21587811001374474,320,312
architecture,control,G:M,0.000333908823182294,0.000667817646364588,0.23575764784763445,0.0014163223387692293,0.9988708437854416,320,312
architecture,control,G:S,0.0013256840122328056,0.0026513680244656113,0.23575764784763445,0.005623079566392557,0.9955170488905976,320,312
architecture,control,M:S,0.12551952644885606,0.2510390528977121,0.23575764784763445,0.5324091396177182,0.5948216031681315,320,312
architecture,control,G:M:S,-0.0002424309390364164,-0.0004848618780728328,0.23575764784763445,-0.0010283057251788276,0.9991801880458842,320,312
architecture,hessian,intercept,-4.168248399209026,-4.168248399209026,0.26223827770325403,-15.894889318659157,4.348047639411308e-42,320,312
architecture,hessian,G,-0.16037520186690013,-0.32075040373380026,0.26223827770325403,-0.6115629010055464,0.5412723386865927,320,312
architecture,hessian,M,0.09430486037757507,0.18860972075515015,0.26223827770325403,0.359615160698582,0.7193782241963851,320,312
architecture,hessian,S,1.038773444119383,2.077546888238766,0.26223827770325403,3.9611816139779856,9.246075165176117e-05,320,312
architecture,hessian,G:M,0.10928253004198436,0.21856506008396873,0.26223827770325403,0.41672989541842276,0.6771625424584103,320,312
architecture,hessian,G:S,0.02002607520833142,0.04005215041666284,0.26223827770325403,0.07636595001967145,0.9391769034772507,320,312
architecture,hessian,M:S,-0.0818722303898729,-0.1637444607797458,0.26223827770325403,-0.31220549153590244,0.7550929066032626,320,312
architecture,hessian,G:M:S,-0.06692848509696851,-0.13385697019393702,0.26223827770325403,-0.255220121498449,0.7987212491226455,320,312
quantum,quantum,intercept,-2.8050259322924562,-2.8050259322924562,1.0114613123884174e-15,-2773240951419881.0,2.295580454491833e-16,8,1
quantum,quantum,G,1.3162522451797911,2.6325044903595822,1.0114613123884174e-15,1301337212860524.2,4.892043092875217e-16,8,1
quantum,quantum,M,-1.0164992450875057,-2.0329984901750113,1.0114613123884174e-15,-1004980845670895.6,6.334645830414736e-16,8,1
quantum,quantum,S,-0.9390151520619442,-1.8780303041238884,1.0114613123884174e-15,-928374758936254.0,6.85735761598075e-16,8,1
quantum,quantum,G:M,1.0509550311212799,2.1019100622425597,1.0114613123884174e-15,1039046198059324.5,6.126963108633919e-16,8,1
quantum,quantum,G:S,1.0086439470015944,2.017287894003189,1.0114613123884174e-15,997214559417828.6,6.383979920421924e-16,8,1
quantum,quantum,M:S,-0.9969043254053115,-1.993808650810623,1.0114613123884174e-15,-985607964630172.8,6.459158156320892e-16,8,1
quantum,quantum,G:M:S,0.8667041218501167,1.7334082437002334,1.0114613123884174e-15,856883116768472.5,7.429482036808462e-16,8,1
