step,optimizer,loss
1,sgd,20
1,adam,20
1,falling_ball,20
1,entropy_descent,20
1,hamiltonian_geometric,20
2,sgd,19.9999845173
2,adam,21.8276385982
2,falling_ball,19.9999845173
2,entropy_descent,19.8972513902
2,hamiltonian_geometric,19.8972920819
3,sgd,19.9999758136
3,adam,21.5387854347
3,falling_ball,19.9999705519
3,entropy_descent,19.7985009703
3,hamiltonian_geometric,19.7079554249
4,sgd,19.9999687045
4,adam,21.8631676266
4,falling_ball,19.999957406
4,entropy_descent,19.7035911763
4,hamiltonian_geometric,19.4526896827
5,sgd,19.9999621113
5,adam,20.6796066102
5,falling_ball,19.9999384144
5,entropy_descent,19.612370669
5,hamiltonian_geometric,19.1544559557
6,sgd,19.9999557669
6,adam,20.8156986451
6,falling_ball,19.9999134783
6,entropy_descent,19.524694088
6,hamiltonian_geometric,18.8363206839
7,sgd,19.9999495907
7,adam,20.97339877
7,falling_ball,19.9998895539
7,entropy_descent,19.4404218155
7,hamiltonian_geometric,18.5196366363
8,sgd,19.9999435514
8,adam,20.7576392581
8,falling_ball,19.999867559
8,entropy_descent,19.3594197488
8,hamiltonian_geometric,18.2226476172
9,sgd,19.9999376325
9,adam,20.4692087855
9,falling_ball,19.9998436284
9,entropy_descent,19.2815590828
9,hamiltonian_geometric,17.959556886
10,sgd,19.9999318226
10,adam,20.3659040915
10,falling_ball,19.9998185206
10,entropy_descent,19.2067161005
10,hamiltonian_geometric,17.7400570417
11,sgd,19.9999261132
11,adam,20.4883627182
11,falling_ball,19.9997937861
11,entropy_descent,19.1347719717
11,hamiltonian_geometric,17.5692838271
12,sgd,19.9999204966
12,adam,20.432347626
12,falling_ball,19.999769876
12,entropy_descent,19.0656125599
12,hamiltonian_geometric,17.4481295721
13,sgd,19.9999149664
13,adam,20.2887466624
13,falling_ball,19.9997454831
13,entropy_descent,18.9991282368
13,hamiltonian_geometric,17.3738345109
14,sgd,19.9999095167
14,adam,20.3116258417
14,falling_ball,19.9997202376
14,entropy_descent,18.9352137043
14,hamiltonian_geometric,17.3407658463
15,sgd,19.9999041422
15,adam,20.3585280595
15,falling_ball,19.9996954058
15,entropy_descent,18.8737678229
15,hamiltonian_geometric,17.3412943717
16,sgd,19.9998988381
16,adam,20.3119359263
16,falling_ball,19.9996708867
16,entropy_descent,18.8146934477
16,hamiltonian_geometric,17.3666853798
17,sgd,19.9998936
17,adam,20.1942789538
17,falling_ball,19.9996460903
17,entropy_descent,18.7578972703
17,hamiltonian_geometric,17.4079328219
18,sgd,19.9998884239
18,adam,20.1199988914
18,falling_ball,19.9996208378
18,entropy_descent,18.7032896675
18,hamiltonian_geometric,17.4564814465
19,sgd,19.999883306
19,adam,20.1981054721
19,falling_ball,19.9995958237
19,entropy_descent,18.650784555
19,hamiltonian_geometric,17.504799146
20,sgd,19.999878243
20,adam,20.2565079018
20,falling_ball,19.9995713386
20,entropy_descent,18.6002992482
20,hamiltonian_geometric,17.5467793553
21,sgd,19.9998732317
21,adam,20.1576344952
21,falling_ball,19.9995466801
21,entropy_descent,18.5517543275
21,hamiltonian_geometric,17.577969691
22,sgd,19.9998682692
22,adam,20.0581850644
22,falling_ball,19.9995218394
22,entropy_descent,18.505073509
22,hamiltonian_geometric,17.5956370379
23,sgd,19.9998633529
23,adam,20.0777959308
23,falling_ball,19.9994972849
23,entropy_descent,18.4601835213
23,hamiltonian_geometric,17.5986902738
24,sgd,19.9998584802
24,adam,20.1588773088
24,falling_ball,19.9994731443
24,entropy_descent,18.4170139856
24,hamiltonian_geometric,17.5874894106
25,sgd,19.999853649
25,adam,20.1772361044
25,falling_ball,19.9994490792
25,entropy_descent,18.3754973021
25,hamiltonian_geometric,17.5635740759
26,sgd,19.9998488571
26,adam,20.0884476882
26,falling_ball,19.9994249537
26,entropy_descent,18.3355685397
26,hamiltonian_geometric,17.5293452049
27,sgd,19.9998441025
27,adam,20.0171728371
27,falling_ball,19.9994010823
27,entropy_descent,18.2971653304
27,hamiltonian_geometric,17.4877319858
28,sgd,19.9998393833
28,adam,20.0404433501
28,falling_ball,19.9993775004
28,entropy_descent,18.2602277687
28,hamiltonian_geometric,17.4418721018
29,sgd,19.999834698
29,adam,20.0808458893
