x_m,y_m,potential_V
-0.04,-0.04,-1.13035156998
-0.039,-0.04,-1.17027616348
-0.038,-0.04,-1.20865202719
-0.037,-0.04,-1.24549668674
-0.036,-0.04,-1.28082775003
-0.035,-0.04,-1.31466286993
-0.034,-0.04,-1.34701971274
-0.033,-0.04,-1.37791593201
-0.032,-0.04,-1.4073691478
-0.031,-0.04,-1.43539693105
-0.03,-0.04,-1.46201679287
-0.029,-0.04,-1.4872461784
-0.028,-0.04,-1.51110246463
-0.027,-0.04,-1.53360296197
-0.026,-0.04,-1.55476491867
-0.025,-0.04,-1.57460552758
-0.024,-0.04,-1.59314193464
-0.023,-0.04,-1.61039124816
-0.022,-0.04,-1.6263705485
-0.021,-0.04,-1.64109689723
-0.02,-0.04,-1.65458734542
-0.019,-0.04,-1.66685894041
-0.018,-0.04,-1.67792873077
-0.017,-0.04,-1.6878137693
-0.016,-0.04,-1.69653111386
-0.015,-0.04,-1.70409782628
-0.014,-0.04,-1.71053096942
-0.013,-0.04,-1.71584760297
-0.012,-0.04,-1.72006477825
-0.011,-0.04,-1.72319953268
-0.01,-0.04,-1.7252688845
-0.009,-0.04,-1.7262898281
-0.008,-0.04,-1.72627933071
-0.007,-0.04,-1.7252543305
-0.006,-0.04,-1.72323173661
-0.005,-0.04,-1.72022843099
-0.004,-0.04,-1.71626127219
-0.003,-0.04,-1.71134710088
-0.002,-0.04,-1.70550274682
-0.001,-0.04,-1.69874503707
0,-0.04,-1.69109080496
0.001,-0.04,-1.68255689957
0.002,-0.04,-1.67316019525
0.003,-0.04,-1.66291760086
0.004,-0.04,-1.6518460685
0.005,-0.04,-1.63996260138
0.006,-0.04,-1.62728426075
0.007,-0.04,-1.61382817164
0.008,-0.04,-1.59961152746
0.009,-0.04,-1.58465159331
0.01,-0.04,-1.5689657082
0.011,-0.04,-1.55257128597
0.012,-0.04,-1.53548581537
0.013,-0.04,-1.517726859
0.014,-0.04,-1.49931205161
0.015,-0.04,-1.48025909761
0.016,-0.04,-1.46058576811
0.017,-0.04,-1.44030989749
0.018,-0.04,-1.41944937965
0.019,-0.04,-1.39802216407
0.02,-0.04,-1.37604625168
0.021,-0.04,-1.35353969057
0.022,-0.04,-1.33052057177
0.023,-0.04,-1.30700702482
0.024,-0.04,-1.28301721349
0.025,-0.04,-1.25856933145
0.026,-0.04,-1.23368159811
0.027,-0.04,-1.20837225464
0.028,-0.04,-1.18265956034
0.029,-0.04,-1.15656178946
0.03,-0.04,-1.13009722843
0.031,-0.04,-1.10328417372
0.032,-0.04,-1.07614093005
0.033,-0.04,-1.04868580861
0.034,-0.04,-1.02093712487
0.035,-0.04,-0.992913194987
0.036,-0.04,-0.96463232966
0.037,-0.04,-0.93611282395
0.038,-0.04,-0.907372941179
0.039,-0.04,-0.878430888915
0.04,-0.04,-0.849304784833
-0.04,-0.039,-1.0750723407
-0.039,-0.039,-1.11453452793
