workload_key,workload,seed,hg_value,best_other_value,best_other_optimizer,difference_hg_minus_other
mnist,MNIST softmax (test loss),0,0.33317998557,0.347885176941,sgd,-0.014705191371000015
mnist,MNIST softmax (test loss),1,0.359429573713,0.36103467676,sgd,-0.0016051030470000116
mnist,MNIST softmax (test loss),2,0.372955419335,0.344141653524,nesterov,0.02881376581099998
mnist,MNIST softmax (test loss),3,0.359996991419,0.376085755492,nesterov,-0.016088764073000028
mnist,MNIST softmax (test loss),4,0.293402807076,0.286995180102,adamw,0.006407626974000047
mnist,MNIST softmax (test loss),5,0.348449255858,0.345427781456,sgd,0.003021474402000013
mnist,MNIST softmax (test loss),6,0.299128921482,0.303118275855,heavy_ball,-0.00398935437300002
mnist,MNIST softmax (test loss),7,0.354151343268,0.360242910923,sgd,-0.006091567654999963
mnist,MNIST softmax (test loss),8,0.312243758014,0.317594096226,sgd,-0.005350338211999983
mnist,MNIST softmax (test loss),9,0.328265906906,0.335432391346,adamw,-0.007166484440000009
algoperf,AlgoPerf-style MLP (val loss),0,0.0345217827021,0.0539649815156,adamw,-0.019443198813500005
algoperf,AlgoPerf-style MLP (val loss),1,0.0272855509183,0.0326464836843,adamw,-0.005360932766000002
algoperf,AlgoPerf-style MLP (val loss),2,0.0453929208642,0.0509613162179,adamw,-0.005568395353700004
algoperf,AlgoPerf-style MLP (val loss),3,0.0430051578641,0.0559082371037,adamw,-0.012903079239599997
algoperf,AlgoPerf-style MLP (val loss),4,0.0323688182366,0.0341606419037,adamw,-0.0017918236671000051
algoperf,AlgoPerf-style MLP (val loss),5,0.0545230497308,0.0783585516796,adamw,-0.0238355019488
algoperf,AlgoPerf-style MLP (val loss),6,0.038162146719,0.0394640835595,adamw,-0.0013019368404999995
algoperf,AlgoPerf-style MLP (val loss),7,0.0429958609482,0.0481754074684,adamw,-0.005179546520200001
algoperf,AlgoPerf-style MLP (val loss),8,0.126229342445,0.117787524503,adamw,0.00844181794200001
algoperf,AlgoPerf-style MLP (val loss),9,0.0403853502499,0.0379775066906,adamw,0.002407843559299995
deepobs,DeepOBS-style MLP (val loss),0,0.0440552882707,0.0375181846403,adam,0.0065371036304000055
deepobs,DeepOBS-style MLP (val loss),1,0.0178595539965,0.0286004720268,adam,-0.0107409180303
deepobs,DeepOBS-style MLP (val loss),2,0.0988829430495,0.0503635217301,adam,0.0485194213194
deepobs,DeepOBS-style MLP (val loss),3,0.0417392232381,0.0476619712187,adam,-0.005922747980600003
deepobs,DeepOBS-style MLP (val loss),4,0.0193475724593,0.044420921261,adam,-0.0250733488017
deepobs,DeepOBS-style MLP (val loss),5,0.0495316700921,0.0716016973186,adam,-0.0220700272265
deepobs,DeepOBS-style MLP (val loss),6,0.0596310840703,0.0636081062483,adam,-0.003977022178
deepobs,DeepOBS-style MLP (val loss),7,0.048734345734,0.0461676254797,adam,0.0025667202542999992
deepobs,DeepOBS-style MLP (val loss),8,0.147733309282,0.11870127975,adam,0.029032029532000014
deepobs,DeepOBS-style MLP (val loss),9,0.0529326057361,0.0423823146782,adam,0.0105502910579
