optimizer,trial,seed,val_loss,hyperparameters
adamw,1,100,0.18348396644981269,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.003, ""weight_decay"": 0.0001}"
adamw,1,101,0.20854981084741595,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.003, ""weight_decay"": 0.0001}"
adamw,1,102,0.20699543696662848,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.003, ""weight_decay"": 0.0001}"
adamw,2,100,0.23485452873209847,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.003, ""weight_decay"": 0.001}"
adamw,2,101,0.2528189682905698,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.003, ""weight_decay"": 0.001}"
adamw,2,102,0.24059420116144375,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.003, ""weight_decay"": 0.001}"
adamw,3,100,0.06835399669639312,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.01, ""weight_decay"": 0.0001}"
adamw,3,101,0.07490986171694324,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.01, ""weight_decay"": 0.0001}"
adamw,3,102,0.10250552269499394,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.01, ""weight_decay"": 0.0001}"
adamw,4,100,0.1242295564347908,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.01, ""weight_decay"": 0.001}"
adamw,4,101,0.13466825196605708,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.01, ""weight_decay"": 0.001}"
adamw,4,102,0.16244149742870698,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.01, ""weight_decay"": 0.001}"
adamw,5,100,0.035550768819702136,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,5,101,0.04207014567574757,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,5,102,0.06784506030987969,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.0001}"
adamw,6,100,0.10974628925401535,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.001}"
adamw,6,101,0.11736831176516918,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.001}"
adamw,6,102,0.15039697592101445,"{""beta1"": 0.9, ""beta2"": 0.999, ""learning_rate"": 0.03, ""weight_decay"": 0.001}"
nag,1,100,0.49359566455372045,"{""learning_rate"": 0.01, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
nag,1,101,0.5070358297465017,"{""learning_rate"": 0.01, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
nag,1,102,0.4733023179551492,"{""learning_rate"": 0.01, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
nag,2,100,0.3336744959853884,"{""learning_rate"": 0.01, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,2,101,0.33748531153908634,"{""learning_rate"": 0.01, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,2,102,0.34067557668902837,"{""learning_rate"": 0.01, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,3,100,0.15158451570392004,"{""learning_rate"": 0.03, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
nag,3,101,0.16130846277876726,"{""learning_rate"": 0.03, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
nag,3,102,0.20005609435155966,"{""learning_rate"": 0.03, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
nag,4,100,0.10494495202090783,"{""learning_rate"": 0.03, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,4,101,0.11596034692037063,"{""learning_rate"": 0.03, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,4,102,0.15641462796024455,"{""learning_rate"": 0.03, ""momentum"": 0.9, ""weight_decay"": 0.0001}"
nag,5,100,0.08174388287706272,"{""learning_rate"": 0.06, ""momentum"": 0.85, ""weight_decay"": 0.0001}"
