global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,1.6112489700317385,0.676217794418335,,,,,,,,,,,,,,,,,
1,,,0.7489364743232727,0.5445964932441711,0.0231932283147988,0.7428392171859741,0.5489834547042847,0.0275145197237469,43793.0,0.7386532425880432,0.5520016551017761,0.0283208836714035,43793.0,9.282988548278809,874.3199665546417,9.282988548278809,864.5262777805328,0.0,0.0
1,0.8997092843055725,0.5471907258033752,,,,,,,,,,,,,,,,,
2,0.5798670053482056,0.4703782498836517,,,,,,,,,,,,,,,,,
3,0.4518623948097229,0.3991176187992096,,,,,,,,,,,,,,,,,
4,0.3838526606559753,0.3375848829746246,,,,,,,,,,,,,,,,,
5,0.3209686875343323,0.2806237936019897,,,,,,,,,,,,,,,,,
6,0.2604196965694427,0.2349539995193481,,,,,,,,,,,,,,,,,
7,0.2084075659513473,0.1936758756637573,,,,,,,,,,,,,,,,,
8,0.1659740656614303,0.1541830599308014,,,,,,,,,,,,,,,,,
9,0.1294351816177368,0.1321655958890915,,,,,,,,,,,,,,,,,
10,0.1050618141889572,0.1210681945085525,,,,,,,,,,,,,,,,,
11,0.0811124593019485,0.0989151895046234,,,,,,,,,,,,,,,,,
12,0.06472148001194,0.0933042988181114,,,,,,,,,,,,,,,,,
13,0.0660107880830764,0.1018344759941101,,,,,,,,,,,,,,,,,
14,0.050149630755186,0.0724842026829719,,,,,,,,,,,,,,,,,
15,0.0518393591046333,0.0717669576406478,,,,,,,,,,,,,,,,,
16,0.0512551665306091,0.0613195449113845,,,,,,,,,,,,,,,,,
17,0.0587355531752109,0.0888851657509803,,,,,,,,,,,,,,,,,
18,0.0456956177949905,0.0852858424186706,,,,,,,,,,,,,,,,,
19,0.0350328423082828,0.0692583546042442,,,,,,,,,,,,,,,,,
20,,,0.9863935112953186,0.0641840547323226,0.0236114445280114,0.9834749102592468,0.0762302577495575,0.0250024852908527,43793.0,0.9826204776763916,0.0795522779226303,0.0263821175962522,43793.0,22.317598819732662,1810.4983279705048,22.317598819732662,1784.5269210338593,0.4942262172698974,0.0
20,,,,,,,,,,,,,,22.317598819732666,,,,,0.0
