global_step,grad_norm,loss,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
0,2.1177706718444824,0.7774577736854553,,,,,,,,,,,,,,,,,
1,,,0.4884160757064819,0.7226918935775757,0.0217884642139362,0.4935121238231659,0.7231395840644836,0.0259516795218903,43793.0,0.4942934513092041,0.7235202193260193,0.0279058897287955,43793.0,16.436021089553833,812.7934277057648,16.436021089553833,795.3199000358582,0.0,0.0
1,1.96875524520874,0.7365974187850952,,,,,,,,,,,,,,,,,
2,1.549926519393921,0.6694666743278503,,,,,,,,,,,,,,,,,
3,1.181488275527954,0.6234185099601746,,,,,,,,,,,,,,,,,
4,1.0943334102630615,0.5871965289115906,,,,,,,,,,,,,,,,,
5,0.9742910265922546,0.5594182014465332,,,,,,,,,,,,,,,,,
6,0.8689762353897095,0.5225697159767151,,,,,,,,,,,,,,,,,
7,0.7297686338424683,0.4977333843708038,,,,,,,,,,,,,,,,,
8,0.6332253217697144,0.4683017432689667,,,,,,,,,,,,,,,,,
9,0.5743973255157471,0.4449380040168762,,,,,,,,,,,,,,,,,
10,0.5404173731803894,0.4262521862983703,,,,,,,,,,,,,,,,,
11,0.5104051828384399,0.424275279045105,,,,,,,,,,,,,,,,,
12,0.494781881570816,0.4003905653953552,,,,,,,,,,,,,,,,,
13,0.4772084355354309,0.3865032196044922,,,,,,,,,,,,,,,,,
14,0.4321622550487518,0.3806370198726654,,,,,,,,,,,,,,,,,
15,0.430475652217865,0.3575721681118011,,,,,,,,,,,,,,,,,
16,0.4096306562423706,0.3488049805164337,,,,,,,,,,,,,,,,,
17,0.3964752852916717,0.34680837392807,,,,,,,,,,,,,,,,,
18,0.3691982924938202,0.3328771293163299,,,,,,,,,,,,,,,,,
19,0.35836261510849,0.3134419620037079,,,,,,,,,,,,,,,,,
20,,,0.9637300968170166,0.2958588302135467,0.0244203057173007,0.9546500444412231,0.3077757060527801,0.0267331814751634,43793.0,0.9493404030799866,0.3133495151996612,0.028250818321992,43793.0,24.90851902961731,1323.4498736858368,24.90851902961731,1295.9409430027008,0.2947218418121338,0.0
20,,,,,,,,,,,,,,24.90851902961731,,,,,0.0
